,,,,,,,
,,,,,,,
397,"A & M JEZERNIK, d.o.o. CELJE",JEZER,Mariborska 200,3000,tenis.jezernik@gmail.com,,
843,AVTOTRUNK d.o.o.,GIBI,DUNAJSKA 229,1000,info@gibisport.com,041 733 573,
854,EUROTENIS DEJAN ČAVŽ s.p.,EUROT,Hrovača 82,1310,eurotenis@hotmail.com,041 635 038,
723,FITNESS IN TENIS KLUB RIVAL,RIVAL,KVEDROVA ULICA 5A,1000,info@tkrival-as.si,,http://www.tkrival-as.si/
1002,"KMN, Teniška sekcija BOBI",BOBI,Podpeška cesta 380,1357,grusko_23@hotmail.com,-,bobi.si
833,NET SPORT,TKNET,Zaloška csta 98,1000,netsport1@gmail.com,,
128,ŠALEŠKI TENIŠKI KLUB VELENJE,ŠTKVE,SIMONA BLATNIKA 24,3320,tenis.jezero@gmail.com,041 649 556,
131,ŠPORT HIT CLUB,HITLJ,FRENKOVA POT 50,1261,gogo.sifrer@gmail.com,38641368168,hit-club.si
1113,ŠPORTNI KLUB 2002,ŠK_02,DRENOV GRIČ 97,1360,jelovsek.janez@gmail.com,041 207 372,
899,ŠPORTNO DRUŠTVO ČRNA OVCA BOVEC,OVCA,TRG GOLOBARSKIH ŽRTEV 18,5230,bc.crna.ovca@gmail.com,051 397 882,
526,ŠPORTNO DRUŠTVO DRAGOMER - LUKOVICA,DRAGO,NA GRIVI 5,1351,urossec@yahoo.com,,
832,ŠPORTNO DRUŠTVO HANNAH,TKHAN,POD LIPAMI 12,1000,info@hannah.si,040 773 131,www.hannah.si
844,ŠPORTNO DRUŠTVO LJUBLJANSKI TENIŠKI CENTER,LTC,"VRHOVCI, CESTA XXI 27",1000,sreco.zavrski@guest.arnes.si,041 562 058,ltc.si
1115,Športno društvo Loška dolina,ŠD_LD,Cesta notranjskega odreda 1,1386,suzana.tomac@kabelnet.net,Dražen Tomac,
530,ŠPORTNO DRUŠTVO MVT MELJE,MELJE,MELJSKI HRIB 83,2000,irena.skaza@guest.arnes.si,,
252,ŠPORTNO DRUŠTVO RCU LUKOVICA,RCULU,PODPEČ 7,1225,rcu@siol.net,,
836,ŠPORTNO DRUŠTVO ŠMARTNO-TACEN,ŠDŠTA,ROCENSKA ULICA 4,1211,sport.zajc@gmail.com,,
852,ŠPORTNO DRUŠTVO TALENT,TKTAL,Cesta Dolomitskega odreda 26,1000,uros.sever@yahoo.com,31393639,
516,ŠPORTNO DRUŠTVO TANKO ŠPORT,TANKO,IŽANSKA CESTA 142 C,1000,tanko.sport@gmail.com,,
410,ŠPORTNO DRUŠTVO TAUBI KLUB,TAUBI,Mengeška 7B,1236,ales.sporn@gmail.com,41769678,
68,ŠPORTNO REKREATIVNO DRUŠTVO MAX CLUB,MAXLJ,CESTA NA BRDO 109,1000,markotekavec@yahoo.com,01/256 21 68(69),http://www.maxtenisclub.si/
724,TELESNO VZGOJNO DRUŠTVO PARTIZAN LJUTOMER,LJUTO,PREŠERNOVA ULICA 32,9240,sasa.fisinger@guest.arnes.si,31535654,
11,TENIS KLUB 96,SGRAD,FRANCETOVA CESTA 24,2380,vinko.murko-hajtnik@siol.net,41712922,
32,TENIS KLUB AS LITIJA,ASLIT,SAVSKA CESTA 5,1270,as.aping@siol.net,31693330,http://www.as-litija.si
109,TENIS KLUB BS,BENČ,REGENTOVA CESTA 47,1000,bencsport@siol.net,41632699,
621,TENIS KLUB HARI,HARI,OBALA 2,6320,tenis@siol.com,41635067,
151,TENIS KLUB IGOR,IGOR,PROLETARSKIH BRIGAD 6,6311,tkigor.izola@gmail.com,041 799 548,
887,TENIS KLUB KAMNIK,TKKAM,ULICA LJUDEVITA STIASNYJA 12,1241,miha.crnkovic@gmail.com,041 786 743,
33,TENIS KLUB MARIJA GRADEC,LAŠKO,MARIJA GRADEC 29,3270,darijarsenjuk@gmail.com,51265039,
10,TENIS KLUB MUTA,MUTA,GLAVNI TRG 17,2366,milans@kivi.si,51432007,
908,TENIS KLUB NATKA,NATKA,ULICA OB GOZDU 5,2204,present@present.si,31668313,
35,TENIS KLUB OLIMPIJA,OL-LJ,CELOVŠKA 25,1000,tkolimpija@siol.net,38641637574,www.tenisklubolimpija.si
15,TENIS KLUB PRO TEN,PROTEN,ANKARANSKA CESTA7 B,6000,r.brec.gmt@t-2.net,41698555,proten.si
853,TENIS KLUB ROGATEC,TKROG,CESTE 80,3252,tenis@tk-rogatec.com,03 810 7113,
839,TENIS KLUB SPORTINA BLED,SBLED,Gregorčičeva 25,4260,igor@tenisbled.com,041 500 816,www.tenisbled.com
840,TENIS KLUB TENIŠKA AKADEMIJA VOLK TOMAŽ,TAŽAL,Aškerčeva ulica 15,3310,tenisvolk@t-1.si,041 698 276,tenisvolk.si
483,TENIS KLUB Z SPORT,ZKLUB,NOVO POLJE CESTA VI 4,1260,luka.zalaznik@zsport.net,40273327,www.zsport.net
140,TENIS MIMA D.O.O.,MIMA,GREGORČIČEVA 15,2000,zoran.jausovec@triera.net,41792105,
1112,TENIS ZAJŠEK,ZAJŠE,Ob Blažovnici 54,2341,tjasa.zajsek@gmail.com,40532188,
958,Teniška sekcija Bežigrad (Pasap d.o.o.),TSBEŽ,Ruska ulica 9,2000,sinisa.vecic@siol.net,40216006,
1,TENIŠKA ZVEZA SLOVENIJE,TZS,VURNIKOVA 2,1000,info@teniska-zveza.si,14306690,
258,TENIŠKI KLUB AVTO CELJE CELJE,AVTOC,Mariborska 68,3000,boris.dvorsek@t-2.net,,
956,Teniški klub Bled-Zaka,ZAKA,Župančičeva cesta 9,4260,info@tenisklub-bled.si,04 574 1709,
5,TENIŠKI KLUB BRANIK MARIBOR,BR-MB,KAJUHOVA ULICA 6/A,2000,teniski-klub.branik@amis.net,38622514525,http://www.teniski-klub-branik.si
95,TENIŠKI KLUB BREZINA,BREBR,BREZINA 71/B,8250,vinko.ogorevc@siol.net,31215826,
170,TENIŠKI KLUB BREŽICE,BREŽI,KAJUHOVA ULICA 13,8250,gregorvucajnk@yahoo.com,,
134,TENIŠKI KLUB CELJE,CELJE,PARTIZANSKA CESTA 3A,3000,info@tkcelje.si,31382448,
6,TENIŠKI KLUB DOMŽALE,DOMŽA,KOPALIŠKA CESTA 5,1230,info@tenis-domzale.si,,
959,Teniški klub Eurotenis,TKEURO,Hrovača 82,1310,info@eurotenis.si,-,
1109,Teniški klub Galtena,GALTE,Prvenci 2a,2281,gali278@yahoo.com,041 889 905,galtena.com
66,TENIŠKI KLUB GROSUPLJE,GROSU,LJUBLJANSKA CESTA 52,1290,marko.skrjanc@gmail.com,41332245,
137,TENIŠKI KLUB HOČE,HOČE,Gozdna 2 g,2311,vojko.frelih@intereuropa.si,,
149,TENIŠKI KLUB JAKI ŠPORT,JAKI,VODNIKOVA 155,1000,jaki.sport@siol.net,,www.jakisport.si
492,TENIŠKI KLUB JAKOPINA,TENMS,ULICA ARHITEKTA NOVAKA 15,9000,klub@jakopina.com,70993378,
28,TENIŠKI KLUB JESENICE,JESEN,LEDARSKA 4,4270,rainbow@siol.net,,
615,TENIŠKI KLUB KOČEVJE,KOČEV,TRG ZBORA ODPOSLANCEV 30,1330,rekreacija.gaj@siol.net,,
97,TENIŠKI KLUB KOLEKTOR,IDRIJ,VODNIKOVA ULICA 25,5280,sreco.zavrski@guest.arnes.si,41562058,
14,TENIŠKI KLUB KOPER,KOPER,FERRARSKA 14,6000,tk.koper@siol.net,031 353 145,www.teniskoper.com
8,TENIŠKI KLUB KRKA OTOČEC,OTOČE,GRAJSKA CESTA 2,8222,dusan.hocevar88@gmail.com,031 774 410,http://www.tenis-krka.org
29,TENIŠKI KLUB KRŠKO,KRŠKO,Cesta krških žrtev 130b,8270,info@teniski-klub-krsko.si,07/49-27-176,http://www.teniski-klub-krsko.si/
619,TENIŠKI KLUB MAJA MATEVŽIČ,MAJA,LAJOVČEVA 17,1000,maja_matevzic@yahoo.com,041 766 761,http://www.majamatevzic.com
240,TENIŠKI KLUB MOJSTRANA,MOJST,Kurirska pot 26,4280,joze.krivc@app-jesenice.com,,
942,TENIŠKI KLUB MORJE PORTOROŽ,MORJE,FAZAN 5,6320,maurizio.romanello@t-2.net,031 699 013,
